Auction insights report — SAMPLE DATA, NOT A REAL ACCOUNT
15 Jun 2026 - 6 Jul 2026
Week,Display URL domain,Impr. share,Overlap rate,Position above rate,Top of page rate,Abs. Top of page rate,Outranking share
2026-06-15,You,46.75%,--,--,88.10%,31.20%,--
2026-06-15,competitor-a.co.uk,22.30%,41.00%,18.90%,72.40%,19.10%,68.20%
2026-06-15,competitor-b.co.uk,< 10%,12.50%,7.10%,55.00%,9.90%,84.30%
2026-06-22,You,51.02%,--,--,90.00%,35.60%,--
2026-06-22,competitor-a.co.uk,19.80%,38.70%,15.40%,70.10%,17.30%,71.50%
2026-06-22,competitor-b.co.uk,11.40%,14.20%,8.00%,57.30%,10.80%,82.90%
2026-06-29,You,49.30%,--,--,89.40%,34.10%,--
2026-06-29,competitor-a.co.uk,26.10%,44.30%,21.60%,75.80%,22.40%,64.10%
2026-06-29,competitor-c.co.uk,13.70%,19.90%,9.50%,60.20%,12.10%,79.40%
2026-07-06,You,50.10%,--,--,90.20%,36.00%,--
2026-07-06,competitor-a.co.uk,27.40%,45.10%,23.00%,76.90%,23.80%,62.70%
2026-07-06,competitor-c.co.uk,14.90%,21.30%,10.20%,61.50%,13.00%,78.10%
